,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
0,2021-07-12 09:31:00-04:00,20210712093100,64.782,64.767,64.982,63.757,21781548,2827422976.0,0.0,0.0,False,False,,False,False,,,False,False,,,False,True,False,True,0,0,0,0,0.0
1,2021-07-13 09:31:00-04:00,20210713093100,64.572,64.732,66.402,63.807,29862500,3929982976.0,-0.0,-0.002,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
2,2021-07-14 09:31:00-04:00,20210714093100,66.062,65.087,66.402,64.617,34010672,4503135232.0,0.004,0.015,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
3,2021-07-15 09:31:00-04:00,20210715093100,65.087,63.727,65.937,62.612,34298240,4415888384.0,-0.01,-0.042,False,False,,False,False,,,False,False,,,False,True,False,False,0,0,0,0,0.0
4,2021-07-16 09:31:00-04:00,20210716093100,64.209,62.147,64.711,61.967,31850724,4059370496.0,-0.045,-0.169,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
5,2021-07-19 09:31:00-04:00,20210719093100,60.287,60.642,62.047,59.272,50571604,6130035712.0,-0.098,-0.343,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
6,2021-07-20 09:31:00-04:00,20210720093100,61.102,62.662,63.502,60.237,30386172,3809417472.0,-0.121,-0.37,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
7,2021-07-21 09:31:00-04:00,20210721093100,62.537,64.107,64.332,62.102,20440840,2608053760.0,-0.123,-0.311,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
8,2021-07-22 09:31:00-04:00,20210722093100,64.307,65.467,66.162,64.152,23739352,3110690816.0,-0.106,-0.19,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
9,2021-07-23 09:31:00-04:00,20210723093100,66.232,67.662,67.932,65.562,25974612,3513141760.0,-0.06,0.021,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
10,2021-07-26 09:31:00-04:00,20210726093100,67.392,67.947,68.159,66.907,21494408,2933227008.0,-0.014,0.199,False,False,,False,False,,,False,False,,,False,False,False,False,0,0,0,0,0.0
